ISIN,Code,SYMBOL,SERIES,EXCH,SYMBOL2,,Symbol3
INE0MIS01010,PYRAMID,PYRAMID,EQ,NSE,PYRAMID,,PYRAMID.NS
INE0FMW01018,QMSMEDI,QMSMEDI,SM,NSE,QMSMEDI,,QMSMEDI.NS
INE0LRY01011,QUADFUTURE,QUADFUTURE,EQ,NSE,QUADFUTURE,,QUADFUTURE.NS
INE0SII01026,QPOWER,QPOWER,EQ,NSE,QPOWER,,QPOWER.NS
INE615P01015,QUESS,QUESS,EQ,NSE,QUESS,,QUESS.NS
INE0TNW01017,QUESTLAB,QUESTLAB,SM,NSE,QUESTLAB,,QUESTLAB.NS
INE306L01010,QUICKHEAL,QUICKHEAL,EQ,NSE,QUICKHEAL,,QUICKHEAL.NS
INE0K4D01020,QUICKTOUCH,QUICKTOUCH,SM,NSE,QUICKTOUCH,,QUICKTOUCH.NS
INE0KZF01015,QVCEL,QVCEL,SM,NSE,QVCEL,,QVCEL.NS
INE0NQ801033,RKSWAMY,RKSWAMY,EQ,NSE,RKSWAMY,,RKSWAMY.NS
INE219Y01018,RMDRIP,RMDRIP,EQ,NSE,RMDRIP,,RMDRIP.NS
INE777K01022,RRKABEL,RRKABEL,EQ,NSE,RRKABEL,,RRKABEL.NS
INE411H01032,RSYSTEMS,RSYSTEMS,EQ,NSE,RSYSTEMS,,RSYSTEMS.NS
INE012Q01021,RNBDENIMS,RNBDENIMS,EQ,NSE,RNBDENIMS,,RNBDENIMS.NS
INE324L01013,RPPINFRA,RPPINFRA,EQ,NSE,RPPINFRA,,RPPINFRA.NS
INE084Q01012,RACE,RACE,EQ,NSE,RACE,,RACE.NS
INE02OY01016,RILINFRA,RILINFRA,ST,NSE,RILINFRA,,RILINFRA.NS
INE704B01017,RACLGEAR,RACLGEAR,EQ,NSE,RACLGEAR,,RACLGEAR.NS
INE874F01027,RADAAN,RADAAN,EQ,NSE,RADAAN,,RADAAN.NS
INE583V01021,RADHIKAJWE,RADHIKAJWE,EQ,NSE,RADHIKAJWE,,RADHIKAJWE.NS
INE855R01021,RADIANTCMS,RADIANTCMS,EQ,NSE,RADIANTCMS,,RADIANTCMS.NS
INE944F01028,RADICO,RADICO,EQ,NSE,RADICO,,RADICO.NS
INE430U01019,RADIOWALLA,RADIOWALLA,SM,NSE,RADIOWALLA,,RADIOWALLA.NS
INE912T01018,RPEL,RPEL,EQ,NSE,RPEL,,RPEL.NS
INE415G01027,RVNL,RVNL,EQ,NSE,RVNL,,RVNL.NS
INE0DD101019,RAILTEL,RAILTEL,EQ,NSE,RAILTEL,,RAILTEL.NS
INE855B01025,RAIN,RAIN,EQ,NSE,RAIN,,RAIN.NS
INE961O01016,RAINBOW,RAINBOW,EQ,NSE,RAINBOW,,RAINBOW.NS
INE952H01027,RAJTV,RAJTV,EQ,NSE,RAJTV,,RAJTV.NS
INE343B01030,RAJESHEXPO,RAJESHEXPO,EQ,NSE,RAJESHEXPO,,RAJESHEXPO.NS
INE0BZQ01011,RCDL,RCDL,SM,NSE,RCDL,,RCDL.NS
INE00KV01022,RAJMET,RAJMET,EQ,NSE,RAJMET,,RAJMET.NS
INE535F01024,RAJOOENG,RAJOOENG,EQ,NSE,RAJOOENG,,RAJOOENG.NS
INE0VHU01019,RAJPUTANA,RAJPUTANA,SM,NSE,RAJPUTANA,,RAJPUTANA.NS
INE0PCU01012,RAJINDLTD,RAJINDLTD,SM,NSE,RAJINDLTD,,RAJINDLTD.NS
INE451D01029,RAJRATAN,RAJRATAN,EQ,NSE,RAJRATAN,,RAJRATAN.NS
INE760W01023,RPPL,RPPL,EQ,NSE,RPPL,,RPPL.NS
INE562B01019,RAJSREESUG,RAJSREESUG,EQ,NSE,RAJSREESUG,,RAJSREESUG.NS
INE613A01020,RALLIS,RALLIS,EQ,NSE,RALLIS,,RALLIS.NS
INE207E01023,RAMRAT,RAMRAT,EQ,NSE,RAMRAT,,RAMRAT.NS
INE230R01035,RAMASTEEL,RAMASTEEL,EQ,NSE,RAMASTEEL,,RAMASTEEL.NS
INE14W901010,RTL,RTL,SM,NSE,RTL,,RTL.NS
INE614A01028,RAMCOIND,RAMCOIND,EQ,NSE,RAMCOIND,,RAMCOIND.NS
INE0RJH01010,RBS,RBS,SM,NSE,RBS,,RBS.NS
INE399G01023,RKFORGE,RKFORGE,EQ,NSE,RKFORGE,,RKFORGE.NS
INE874I01013,RAMKY,RAMKY,EQ,NSE,RAMKY,,RAMKY.NS
INE625B01014,RANASUG,RANASUG,EQ,NSE,RANASUG,,RANASUG.NS
INE050H01012,RML,RML,EQ,NSE,RML,,RML.NS
INE384A01010,RANEHOLDIN,RANEHOLDIN,EQ,NSE,RANEHOLDIN,,RANEHOLDIN.NS
